1706003093.077112100,1,128,1,lo0,6,112,26,127.0.0.6,8000,,192.168.1.1,42580,
1705988966.010224130,1,128,1,lo0,6,112,26,127.0.0.6,8000,,192.168.1.1,40452,
1706001980.787324361,1,128,1,lo0,6,112,26,127.0.0.6,8000,,192.168.1.1,41662,
1705997545.851613372,1,128,1,lo0,6,112,26,127.0.0.6,8000,,192.168.1.1,22666,
1705973903.450097882,1,128,1,lo0,6,112,26,127.0.0.6,8000,,192.168.1.1,33951,
1705995173.424568182,1,128,1,lo0,6,112,26,127.0.0.6,8000,,192.168.1.1,50466,
1705974144.014705152,1,128,1,lo0,6,148,26,192.168.1.1,64953,,127.0.0.6,8000,
1705979789.594754840,1,128,1,lo0,6,112,26,127.0.0.6,8000,,192.168.1.1,29468,
1705985361.960900217,1,128,1,lo0,6,112,26,127.0.0.6,8000,,192.168.1.1,59711,
1705996343.685632982,1,128,1,lo0,6,112,26,127.0.0.6,8000,,192.168.1.1,20461,
1706006482.272886226,1,128,1,lo0,6,112,26,127.0.0.6,8000,,192.168.1.1,21727,
1705977593.221519205,1,128,1,lo0,6,112,26,127.0.0.6,8000,,192.168.1.1,40220,
1706012361.688611225,1,128,1,lo0,6,112,26,127.0.0.6,8000,,192.168.1.1,23545,
1705988064.518309265,1,128,1,lo0,6,112,26,127.0.0.6,8000,,192.168.1.1,61962,
1705969885.895477470,1,128,1,lo0,6,112,26,127.0.0.6,8000,,192.168.1.1,29275,
1706000002.262321315,1,128,1,lo0,6,112,26,127.0.0.6,8000,,192.168.1.1,48014,
1706009542.497557750,1,128,1,lo0,6,112,26,127.0.0.6,8000,,192.168.1.1,52415,
1705989642.156757045,1,52,1,vmx1,6,132,26,10.0.0.1,33366,,192.168.1.5,30446,
1706007094.944298450,1,128,1,lo0,6,112,26,127.0.0.6,8000,,192.168.1.1,33905,
1706010500.514071518,1,128,1,lo0,6,112,26,127.0.0.6,8000,,192.168.1.1,35231,
1706002028.877229269,1,128,1,lo0,6,112,26,127.0.0.6,8000,,192.168.1.1,41662,
1705993761.059489311,1,128,1,lo0,6,112,26,127.0.0.6,8000,,192.168.1.1,59816,
1705992236.904830647,1,128,1,lo0,6,124,26,192.168.1.1,32192,,127.0.0.6,8000,
1705968380.545593662,1,128,1,lo0,6,112,26,127.0.0.6,8000,,192.168.1.1,12461,
1706005088.875667336,1,128,1,lo0,6,112,26,127.0.0.6,8000,,192.168.1.1,59259,
1705988303.955827509,1,128,1,lo0,6,112,26,127.0.0.6,8000,,192.168.1.1,43979,
1705981401.274798127,1,128,1,lo0,6,112,26,127.0.0.6,8000,,192.168.1.1,43165,
1705990160.769559542,1,128,1,lo0,6,112,26,127.0.0.6,8000,,192.168.1.1,52704,
1705971562.235610577,1,128,1,lo0,6,112,26,127.0.0.6,8000,,192.168.1.1,10608,
1706003361.605554284,1,128,1,lo0,6,112,26,127.0.0.6,8000,,192.168.1.1,13406,
1706002469.705601994,1,128,1,lo0,6,112,26,127.0.0.6,8000,,192.168.1.1,61471,
1705980869.822277675,1,128,1,lo0,6,112,26,127.0.0.6,8000,,192.168.1.1,56921,
1706009843.595172495,1,128,1,lo0,6,112,26,127.0.0.6,8000,,192.168.1.1,11743,
1705998086.005878415,1,128,1,lo0,6,148,26,192.168.1.1,22080,,127.0.0.6,8000,
1705984523.469732796,1,128,1,lo0,6,112,26,127.0.0.6,8000,,192.168.1.1,39981,
1705994848.455758027,1,128,1,lo0,6,112,26,127.0.0.6,8000,,192.168.1.1,19376,
1705974354.943675705,1,128,1,lo0,6,112,26,127.0.0.6,8000,,192.168.1.1,52474,
1705969733.340058102,1,128,1,lo0,6,112,26,127.0.0.6,8000,,192.168.1.1,60438,
1705989636.211301391,1,41,1,vmx1,6,132,26,10.0.0.1,42423,,192.168.1.5,34441,
1705973543.936162211,1,128,1,lo0,6,112,26,127.0.0.6,8000,,192.168.1.1,34945,
1705975343.435808226,1,128,1,lo0,6,112,26,127.0.0.6,8000,,192.168.1.1,20431,
1705995140.827551142,1,128,1,lo0,6,112,26,127.0.0.6,8000,,192.168.1.1,50466,
1705987880.503544255,1,128,1,lo0,6,112,26,127.0.0.6,8000,,192.168.1.1,54322,
1705970517.026443111,1,128,1,lo0,6,124,26,192.168.1.1,26409,,127.0.0.6,8000,
1705989322.490774266,1,128,1,lo0,6,112,26,127.0.0.6,8000,,192.168.1.1,24429,
1706006993.152889377,1,128,1,lo0,6,112,26,127.0.0.6,8000,,192.168.1.1,60436,
1705992201.303209315,1,128,1,lo0,6,112,26,127.0.0.6,8000,,192.168.1.1,17762,
1705988797.597785718,1,128,1,lo0,6,112,26,127.0.0.6,8000,,192.168.1.1,15305,
1705972462.466070631,1,128,1,lo0,6,112,26,127.0.0.6,8000,,192.168.1.1,58073,
1705993402.523905195,1,128,1,lo0,6,112,26,127.0.0.6,8000,,192.168.1.1,41340,
1706003726.212122912,1,128,1,lo0,6,112,26,127.0.0.6,8000,,192.168.1.1,33117,
1705989647.006960052,1,54,1,vmx1,17,400,26,10.0.0.1,,55662,192.168.1.5,,38199
1705974083.393611434,1,128,1,lo0,6,112,26,127.0.0.6,8000,,192.168.1.1,64953,
1706006877.917434048,1,45,1,vmx1,6,116,26,192.168.2.10,56588,,192.168.1.5,135,
1706003063.404380182,1,128,1,lo0,6,112,26,127.0.0.6,8000,,192.168.1.1,42580,
1706006366.035351398,1,128,1,lo0,6,112,26,127.0.0.6,8000,,192.168.1.1,18821,
1706001500.550331836,1,128,1,lo0,6,112,26,127.0.0.6,8000,,192.168.1.1,11410,
